,client_id
1084,38037
1085,45236
1086,30031
1087,17304
1088,12873
1089,16881
1090,18430
1091,13006
1092,13750
1093,17478
1094,25732
1095,42907
1096,22000
1097,28508
1098,16960
1099,45748
1100,41002
1101,45654
1102,33248
1103,39462
1104,17552
1105,19841
1106,18838
1107,11934
1108,11382
1109,14386
1110,19983
1111,40788
1112,23320
1113,39471
1114,18917
1115,15690
1116,16042
1117,11206
1118,20026
1119,15236
1120,15802
1121,13513
1122,17097
1123,49569
1124,22985
1125,22333
1126,14875
1127,40370
1128,40370
1129,40550
1130,45022
1131,40408
1132,18950
1133,20364
1134,41061
1135,15842
1136,14657
1137,11797
1138,42961
1139,11644
1140,19331
1141,14812
1142,18623
1143,19900
1144,14366
1145,44158
1146,20802
1147,28306
1148,14253
1149,21214
1150,22275
1151,21472
1152,21881
1153,44693
1154,20646
1155,16750
1156,48593
1157,50053
1158,14179
1159,22520
1160,48247
1161,11851
1162,14357
1163,48058
1164,26264
1165,13992
1166,33809
1167,22170
1168,38662
1169,20432
1170,46595
1171,38291
1172,19245
1173,19801
1174,28733
1175,14202
1176,17396
1177,26939
1178,45256
1179,28997
1180,13425
1181,38351
1182,21930
1183,18301
1184,24523
1185,50671
1186,20050
1187,12472
1188,13266
1189,28141
1190,23834
1191,21381
1192,13455
1193,29799
1194,24176
1195,24712
1196,30476
1197,11969
1198,22510
1199,25031
1200,14058
1201,50542
1202,14216
1203,22042
1204,12525
1205,32002
1206,40730
1207,18552
1208,50789
1209,11780
1210,22195
1211,11988
1212,15491
1213,19371
1214,18497
1215,49098
1216,23257
1217,23257
1218,45252
1219,44452
1220,28206
1221,13263
1222,21181
1223,32325
1224,11917
1225,18531
1226,22265
1227,12828
1228,19949
1229,21338
1230,12477
1231,40475
1232,45305
1233,26035
1234,13123
1235,20643
1236,40034
1237,30346
1238,14076
1239,20014
1240,17812
1241,17929
1242,43445
1243,13230
1244,39461
1245,41658
1246,29094
1247,19385
1248,47217
1249,11682
1250,19604
1251,20043
1252,23575
1253,29506
1254,45692
1255,49737
1256,40874
1257,39994
1258,22520
1259,11985
1260,12485
1261,15435
1262,48047
1263,20975
1264,38001
1265,16699
1266,42610
1267,26023
1268,25926
1269,19295
1270,23435
1271,13417
1272,15409
1273,19419
1274,13037
1275,27055
1276,18623
1277,14163
1278,51147
1279,14508
1280,30806
1281,47926
1282,38277
1283,44500
1284,13217
1285,26004
1286,15425
1287,11989
1288,45794
1289,45588
1290,19389
1291,10006
1292,21537
1293,50256
1294,12481
1295,29456
1296,28970
1297,17860
1298,19403
1299,43820
1300,24876
1301,43358
1302,12479
1303,15625
