,zendesk_calls
585,https://useblu.zendesk.com/agent/tickets/406396
590,https://useblu.zendesk.com/agent/tickets/406412
596,https://useblu.zendesk.com/agent/tickets/406556
606,https://useblu.zendesk.com/agent/tickets/406565
609,https://useblu.zendesk.com/agent/tickets/406569
615,https://useblu.zendesk.com/agent/tickets/406576
617,https://useblu.zendesk.com/agent/tickets/406578
624,https://useblu.zendesk.com/agent/tickets/406586
631,https://useblu.zendesk.com/agent/tickets/406593
634,https://useblu.zendesk.com/agent/tickets/406597
637,https://useblu.zendesk.com/agent/tickets/406600
638,https://useblu.zendesk.com/agent/tickets/406601
639,https://useblu.zendesk.com/agent/tickets/406602
640,https://useblu.zendesk.com/agent/tickets/406603
642,https://useblu.zendesk.com/agent/tickets/406605
648,https://useblu.zendesk.com/agent/tickets/406613
654,https://useblu.zendesk.com/agent/tickets/406619
655,https://useblu.zendesk.com/agent/tickets/406620
658,https://useblu.zendesk.com/agent/tickets/406623
659,https://useblu.zendesk.com/agent/tickets/406624
660,https://useblu.zendesk.com/agent/tickets/406625
663,https://useblu.zendesk.com/agent/tickets/406627
670,https://useblu.zendesk.com/agent/tickets/406637
671,https://useblu.zendesk.com/agent/tickets/406638
676,https://useblu.zendesk.com/agent/tickets/412590
680,https://useblu.zendesk.com/agent/tickets/412595
684,https://useblu.zendesk.com/agent/tickets/412599
686,https://useblu.zendesk.com/agent/tickets/412601
693,https://useblu.zendesk.com/agent/tickets/412608
698,https://useblu.zendesk.com/agent/tickets/412613
714,https://useblu.zendesk.com/agent/tickets/412623
721,https://useblu.zendesk.com/agent/tickets/412631
722,https://useblu.zendesk.com/agent/tickets/412632
724,https://useblu.zendesk.com/agent/tickets/412634
729,https://useblu.zendesk.com/agent/tickets/406656
737,https://useblu.zendesk.com/agent/tickets/412655
738,https://useblu.zendesk.com/agent/tickets/412656
740,https://useblu.zendesk.com/agent/tickets/412658
743,https://useblu.zendesk.com/agent/tickets/412659
749,https://useblu.zendesk.com/agent/tickets/412665
751,https://useblu.zendesk.com/agent/tickets/412667
754,https://useblu.zendesk.com/agent/tickets/406652
758,https://useblu.zendesk.com/agent/tickets/406657
760,https://useblu.zendesk.com/agent/tickets/406659
766,https://useblu.zendesk.com/agent/tickets/406663
770,https://useblu.zendesk.com/agent/tickets/406688
774,https://useblu.zendesk.com/agent/tickets/406672
776,https://useblu.zendesk.com/agent/tickets/406675
781,https://useblu.zendesk.com/agent/tickets/406682
784,https://useblu.zendesk.com/agent/tickets/406685
785,https://useblu.zendesk.com/agent/tickets/406687
789,https://useblu.zendesk.com/agent/tickets/412671
797,https://useblu.zendesk.com/agent/tickets/412680
805,https://useblu.zendesk.com/agent/tickets/412688
813,https://useblu.zendesk.com/agent/tickets/412696
816,https://useblu.zendesk.com/agent/tickets/412699
821,https://useblu.zendesk.com/agent/tickets/412704
823,https://useblu.zendesk.com/agent/tickets/412709
824,https://useblu.zendesk.com/agent/tickets/412710
834,https://useblu.zendesk.com/agent/tickets/412721
841,https://useblu.zendesk.com/agent/tickets/412729
842,https://useblu.zendesk.com/agent/tickets/412733
852,https://useblu.zendesk.com/agent/tickets/412751
855,https://useblu.zendesk.com/agent/tickets/412754
856,https://useblu.zendesk.com/agent/tickets/412755
860,https://useblu.zendesk.com/agent/tickets/412759
861,https://useblu.zendesk.com/agent/tickets/412760
870,https://useblu.zendesk.com/agent/tickets/412771
880,https://useblu.zendesk.com/agent/tickets/412784
886,https://useblu.zendesk.com/agent/tickets/412791
891,https://useblu.zendesk.com/agent/tickets/412796
895,https://useblu.zendesk.com/agent/tickets/412800
898,https://useblu.zendesk.com/agent/tickets/406694
899,https://useblu.zendesk.com/agent/tickets/406695
903,https://useblu.zendesk.com/agent/tickets/406700
909,https://useblu.zendesk.com/agent/tickets/406706
910,https://useblu.zendesk.com/agent/tickets/406707
911,https://useblu.zendesk.com/agent/tickets/406708
913,https://useblu.zendesk.com/agent/tickets/406710
915,https://useblu.zendesk.com/agent/tickets/406712
923,https://useblu.zendesk.com/agent/tickets/406743
925,https://useblu.zendesk.com/agent/tickets/406745
928,https://useblu.zendesk.com/agent/tickets/406748
929,https://useblu.zendesk.com/agent/tickets/406749
930,https://useblu.zendesk.com/agent/tickets/406751
933,https://useblu.zendesk.com/agent/tickets/406754
938,https://useblu.zendesk.com/agent/tickets/406759
941,https://useblu.zendesk.com/agent/tickets/406763
943,https://useblu.zendesk.com/agent/tickets/406765
945,https://useblu.zendesk.com/agent/tickets/406768
948,https://useblu.zendesk.com/agent/tickets/407008
949,https://useblu.zendesk.com/agent/tickets/407009
951,https://useblu.zendesk.com/agent/tickets/407011
