,client_id,zendesk_calls
574,20241,https://useblu.zendesk.com/agent/tickets/441185
577,47291,https://useblu.zendesk.com/agent/tickets/441189
591,48159,https://useblu.zendesk.com/agent/tickets/449166
594,48262,https://useblu.zendesk.com/agent/tickets/449169
596,48303,https://useblu.zendesk.com/agent/tickets/449172
598,45934,https://useblu.zendesk.com/agent/tickets/449174
600,48319,https://useblu.zendesk.com/agent/tickets/449176
604,47967,https://useblu.zendesk.com/agent/tickets/449180
606,47026,https://useblu.zendesk.com/agent/tickets/449182
607,48263,https://useblu.zendesk.com/agent/tickets/449183
608,46985,https://useblu.zendesk.com/agent/tickets/449184
610,47370,https://useblu.zendesk.com/agent/tickets/449186
612,47828,https://useblu.zendesk.com/agent/tickets/449188
618,46986,https://useblu.zendesk.com/agent/tickets/449194
625,48051,https://useblu.zendesk.com/agent/tickets/449202
634,47259,https://useblu.zendesk.com/agent/tickets/449212
638,47844,https://useblu.zendesk.com/agent/tickets/449216
661,47758,https://useblu.zendesk.com/agent/tickets/443112
663,48103,https://useblu.zendesk.com/agent/tickets/443114
668,47224,https://useblu.zendesk.com/agent/tickets/443120
676,47231,https://useblu.zendesk.com/agent/tickets/443129
678,47735,https://useblu.zendesk.com/agent/tickets/443132
680,48111,https://useblu.zendesk.com/agent/tickets/443134
681,38696,https://useblu.zendesk.com/agent/tickets/443135
683,47368,https://useblu.zendesk.com/agent/tickets/443137
684,47853,https://useblu.zendesk.com/agent/tickets/443138
688,45955,https://useblu.zendesk.com/agent/tickets/459448
689,46968,https://useblu.zendesk.com/agent/tickets/461255
691,44884,https://useblu.zendesk.com/agent/tickets/443165
693,47093,https://useblu.zendesk.com/agent/tickets/443167
694,47141,https://useblu.zendesk.com/agent/tickets/443169
695,42682,https://useblu.zendesk.com/agent/tickets/443170
696,46593,https://useblu.zendesk.com/agent/tickets/459296
704,43205,https://useblu.zendesk.com/agent/tickets/459303
706,47542,https://useblu.zendesk.com/agent/tickets/459305
707,45177,https://useblu.zendesk.com/agent/tickets/459306
712,45860,https://useblu.zendesk.com/agent/tickets/459312
713,43814,https://useblu.zendesk.com/agent/tickets/459313
714,46811,https://useblu.zendesk.com/agent/tickets/459314
716,46595,https://useblu.zendesk.com/agent/tickets/459316
717,45480,https://useblu.zendesk.com/agent/tickets/459317
719,45692,https://useblu.zendesk.com/agent/tickets/459319
720,46351,https://useblu.zendesk.com/agent/tickets/459320
722,46005,https://useblu.zendesk.com/agent/tickets/459322
723,46922,https://useblu.zendesk.com/agent/tickets/459323
732,44827,https://useblu.zendesk.com/agent/tickets/459332
733,45874,https://useblu.zendesk.com/agent/tickets/459333
736,46032,https://useblu.zendesk.com/agent/tickets/459336
738,44115,https://useblu.zendesk.com/agent/tickets/459338
744,45876,https://useblu.zendesk.com/agent/tickets/459344
747,46166,https://useblu.zendesk.com/agent/tickets/459348
752,33281,https://useblu.zendesk.com/agent/tickets/459353
753,44867,https://useblu.zendesk.com/agent/tickets/459354
756,40575,https://useblu.zendesk.com/agent/tickets/459357
762,46621,https://useblu.zendesk.com/agent/tickets/459363
764,48313,https://useblu.zendesk.com/agent/tickets/461331
766,45886,https://useblu.zendesk.com/agent/tickets/459366
767,46308,https://useblu.zendesk.com/agent/tickets/459368
768,45210,https://useblu.zendesk.com/agent/tickets/459369
769,42730,https://useblu.zendesk.com/agent/tickets/459370
771,46606,https://useblu.zendesk.com/agent/tickets/459372
774,43243,https://useblu.zendesk.com/agent/tickets/459375
786,45442,https://useblu.zendesk.com/agent/tickets/459389
789,47016,https://useblu.zendesk.com/agent/tickets/459393
793,44280,https://useblu.zendesk.com/agent/tickets/459398
795,46521,https://useblu.zendesk.com/agent/tickets/459400
797,39797,https://useblu.zendesk.com/agent/tickets/459402
802,46865,https://useblu.zendesk.com/agent/tickets/459407
810,44326,https://useblu.zendesk.com/agent/tickets/459416
817,46725,https://useblu.zendesk.com/agent/tickets/459423
818,46880,https://useblu.zendesk.com/agent/tickets/459424
819,46103,https://useblu.zendesk.com/agent/tickets/459425
824,45018,https://useblu.zendesk.com/agent/tickets/459430
825,42564,https://useblu.zendesk.com/agent/tickets/459432
826,46336,https://useblu.zendesk.com/agent/tickets/459433
829,47198,https://useblu.zendesk.com/agent/tickets/459436
830,45135,https://useblu.zendesk.com/agent/tickets/459437
838,42742,https://useblu.zendesk.com/agent/tickets/459446
839,43297,https://useblu.zendesk.com/agent/tickets/459447
841,46900,https://useblu.zendesk.com/agent/tickets/461260
855,48156,https://useblu.zendesk.com/agent/tickets/451122
856,47878,https://useblu.zendesk.com/agent/tickets/451124
863,43870,https://useblu.zendesk.com/agent/tickets/451132
873,47303,https://useblu.zendesk.com/agent/tickets/451142
874,44336,https://useblu.zendesk.com/agent/tickets/451144
875,48074,https://useblu.zendesk.com/agent/tickets/451145
881,48270,https://useblu.zendesk.com/agent/tickets/451152
885,46797,https://useblu.zendesk.com/agent/tickets/451156
888,48025,https://useblu.zendesk.com/agent/tickets/451159
891,48246,https://useblu.zendesk.com/agent/tickets/451162
893,47032,https://useblu.zendesk.com/agent/tickets/451164
898,48327,https://useblu.zendesk.com/agent/tickets/451169
899,47049,https://useblu.zendesk.com/agent/tickets/451170
904,45581,https://useblu.zendesk.com/agent/tickets/451176
905,48088,https://useblu.zendesk.com/agent/tickets/451177
908,47210,https://useblu.zendesk.com/agent/tickets/451180
915,42681,https://useblu.zendesk.com/agent/tickets/451188
916,48053,https://useblu.zendesk.com/agent/tickets/451189
917,47260,https://useblu.zendesk.com/agent/tickets/451190
920,47253,https://useblu.zendesk.com/agent/tickets/451193
924,48467,https://useblu.zendesk.com/agent/tickets/451197
925,48548,https://useblu.zendesk.com/agent/tickets/451198
926,48466,https://useblu.zendesk.com/agent/tickets/451199
928,46961,https://useblu.zendesk.com/agent/tickets/451202
929,46946,https://useblu.zendesk.com/agent/tickets/451203
934,47826,https://useblu.zendesk.com/agent/tickets/451208
940,43133,https://useblu.zendesk.com/agent/tickets/451214
941,48267,https://useblu.zendesk.com/agent/tickets/451215
942,48430,https://useblu.zendesk.com/agent/tickets/451217
946,43884,https://useblu.zendesk.com/agent/tickets/451221
955,48836,https://useblu.zendesk.com/agent/tickets/451230
967,42680,https://useblu.zendesk.com/agent/tickets/452649
986,47907,https://useblu.zendesk.com/agent/tickets/453154
993,38555,https://useblu.zendesk.com/agent/tickets/453163
997,44037,https://useblu.zendesk.com/agent/tickets/453204
1013,48119,https://useblu.zendesk.com/agent/tickets/453183
1027,48446,https://useblu.zendesk.com/agent/tickets/453197
1035,47856,https://useblu.zendesk.com/agent/tickets/453205
1039,47203,https://useblu.zendesk.com/agent/tickets/453209
1040,48140,https://useblu.zendesk.com/agent/tickets/453211
1051,47492,https://useblu.zendesk.com/agent/tickets/453223
1054,47283,https://useblu.zendesk.com/agent/tickets/453226
1057,47274,https://useblu.zendesk.com/agent/tickets/453229
1058,48855,https://useblu.zendesk.com/agent/tickets/453231
1087,41517,https://useblu.zendesk.com/agent/tickets/453504
1089,42607,https://useblu.zendesk.com/agent/tickets/453506
1092,42849,https://useblu.zendesk.com/agent/tickets/453510
1094,46590,https://useblu.zendesk.com/agent/tickets/461271
1105,46694,https://useblu.zendesk.com/agent/tickets/461283
1107,46309,https://useblu.zendesk.com/agent/tickets/461289
1124,44075,https://useblu.zendesk.com/agent/tickets/461300
1139,47268,https://useblu.zendesk.com/agent/tickets/455294
1142,48729,https://useblu.zendesk.com/agent/tickets/455292
1144,45241,https://useblu.zendesk.com/agent/tickets/455295
1145,20696,https://useblu.zendesk.com/agent/tickets/455296
1146,44578,https://useblu.zendesk.com/agent/tickets/455297
1147,45816,https://useblu.zendesk.com/agent/tickets/455298
1149,46099,https://useblu.zendesk.com/agent/tickets/455300
1153,48634,https://useblu.zendesk.com/agent/tickets/455304
1157,48599,https://useblu.zendesk.com/agent/tickets/455308
1158,47852,https://useblu.zendesk.com/agent/tickets/455309
1160,47292,https://useblu.zendesk.com/agent/tickets/455311
1173,46354,https://useblu.zendesk.com/agent/tickets/455324
1174,45436,https://useblu.zendesk.com/agent/tickets/455325
1177,45614,https://useblu.zendesk.com/agent/tickets/455328
1178,46172,https://useblu.zendesk.com/agent/tickets/455329
1179,45752,https://useblu.zendesk.com/agent/tickets/455330
1181,42596,https://useblu.zendesk.com/agent/tickets/455332
1182,45035,https://useblu.zendesk.com/agent/tickets/455333
1183,20312,https://useblu.zendesk.com/agent/tickets/455334
1184,45779,https://useblu.zendesk.com/agent/tickets/455335
1189,46588,https://useblu.zendesk.com/agent/tickets/455341
1190,45835,https://useblu.zendesk.com/agent/tickets/455342
1194,44824,https://useblu.zendesk.com/agent/tickets/455346
1196,46022,https://useblu.zendesk.com/agent/tickets/455348
1197,47042,https://useblu.zendesk.com/agent/tickets/455349
1208,45694,https://useblu.zendesk.com/agent/tickets/455392
1210,44477,https://useblu.zendesk.com/agent/tickets/455394
1212,23289,https://useblu.zendesk.com/agent/tickets/455396
1213,44589,https://useblu.zendesk.com/agent/tickets/455397
1218,43916,https://useblu.zendesk.com/agent/tickets/455402
1223,42413,https://useblu.zendesk.com/agent/tickets/455415
1226,46164,https://useblu.zendesk.com/agent/tickets/461242
1229,45396,https://useblu.zendesk.com/agent/tickets/461306
1317,44697,https://useblu.zendesk.com/agent/tickets/456593
1318,22412,https://useblu.zendesk.com/agent/tickets/456594
1321,43474,https://useblu.zendesk.com/agent/tickets/457163
1326,44161,https://useblu.zendesk.com/agent/tickets/457000
1330,17261,https://useblu.zendesk.com/agent/tickets/457004
1337,38989,https://useblu.zendesk.com/agent/tickets/457011
1340,45252,https://useblu.zendesk.com/agent/tickets/457014
1342,41902,https://useblu.zendesk.com/agent/tickets/457016
1344,44650,https://useblu.zendesk.com/agent/tickets/457018
1345,25922,https://useblu.zendesk.com/agent/tickets/457019
1346,22974,https://useblu.zendesk.com/agent/tickets/457020
1348,35427,https://useblu.zendesk.com/agent/tickets/457022
1351,22247,https://useblu.zendesk.com/agent/tickets/457025
1357,46571,https://useblu.zendesk.com/agent/tickets/457031
1359,26861,https://useblu.zendesk.com/agent/tickets/457034
1361,15595,https://useblu.zendesk.com/agent/tickets/457036
1363,45377,https://useblu.zendesk.com/agent/tickets/457038
1364,29153,https://useblu.zendesk.com/agent/tickets/457039
1372,47031,https://useblu.zendesk.com/agent/tickets/457047
1373,37922,https://useblu.zendesk.com/agent/tickets/457048
1377,44047,https://useblu.zendesk.com/agent/tickets/457052
1383,43643,https://useblu.zendesk.com/agent/tickets/457058
1389,30725,https://useblu.zendesk.com/agent/tickets/457064
1391,48042,https://useblu.zendesk.com/agent/tickets/457065
1394,40272,https://useblu.zendesk.com/agent/tickets/457068
1396,44586,https://useblu.zendesk.com/agent/tickets/457069
1405,45616,https://useblu.zendesk.com/agent/tickets/457082
1409,42759,https://useblu.zendesk.com/agent/tickets/457086
1413,16121,https://useblu.zendesk.com/agent/tickets/457090
1418,44158,https://useblu.zendesk.com/agent/tickets/457097
1423,21650,https://useblu.zendesk.com/agent/tickets/457102
1432,27907,https://useblu.zendesk.com/agent/tickets/457112
1434,26896,https://useblu.zendesk.com/agent/tickets/457114
1438,27744,https://useblu.zendesk.com/agent/tickets/457118
1443,40702,https://useblu.zendesk.com/agent/tickets/457123
1447,17386,https://useblu.zendesk.com/agent/tickets/457128
1453,33611,https://useblu.zendesk.com/agent/tickets/457134
1459,45176,https://useblu.zendesk.com/agent/tickets/457143
1461,45336,https://useblu.zendesk.com/agent/tickets/457145
1464,28646,https://useblu.zendesk.com/agent/tickets/457148
1466,40535,https://useblu.zendesk.com/agent/tickets/457152
1469,15547,https://useblu.zendesk.com/agent/tickets/457155
1475,44054,https://useblu.zendesk.com/agent/tickets/457165
1479,45793,https://useblu.zendesk.com/agent/tickets/457169
1480,42505,https://useblu.zendesk.com/agent/tickets/457170
1486,45103,https://useblu.zendesk.com/agent/tickets/457177
1487,47803,https://useblu.zendesk.com/agent/tickets/457178
1494,42394,https://useblu.zendesk.com/agent/tickets/457185
1507,43382,https://useblu.zendesk.com/agent/tickets/461304
1525,46779,https://useblu.zendesk.com/agent/tickets/461335
1532,47012,https://useblu.zendesk.com/agent/tickets/461342
1534,46154,https://useblu.zendesk.com/agent/tickets/461347
1536,46689,https://useblu.zendesk.com/agent/tickets/461349
1540,46639,https://useblu.zendesk.com/agent/tickets/471640
1541,45897,https://useblu.zendesk.com/agent/tickets/471641
1548,41084,https://useblu.zendesk.com/agent/tickets/463646
1554,48486,https://useblu.zendesk.com/agent/tickets/463652
1582,46707,https://useblu.zendesk.com/agent/tickets/463681
1586,45918,https://useblu.zendesk.com/agent/tickets/463685
1595,41969,https://useblu.zendesk.com/agent/tickets/463694
1596,40858,https://useblu.zendesk.com/agent/tickets/463695
1601,45437,https://useblu.zendesk.com/agent/tickets/463700
1607,47647,https://useblu.zendesk.com/agent/tickets/463706
1630,48521,https://useblu.zendesk.com/agent/tickets/463731
1641,45300,https://useblu.zendesk.com/agent/tickets/472029
1644,47794,https://useblu.zendesk.com/agent/tickets/472012
1647,48095,https://useblu.zendesk.com/agent/tickets/472015
1648,48259,https://useblu.zendesk.com/agent/tickets/472016
1649,46109,https://useblu.zendesk.com/agent/tickets/472017
1650,48160,https://useblu.zendesk.com/agent/tickets/472018
1654,48712,https://useblu.zendesk.com/agent/tickets/472022
1655,48980,https://useblu.zendesk.com/agent/tickets/472023
1656,48391,https://useblu.zendesk.com/agent/tickets/472024
1658,47018,https://useblu.zendesk.com/agent/tickets/472026
1659,48933,https://useblu.zendesk.com/agent/tickets/472027
1667,45896,https://useblu.zendesk.com/agent/tickets/465712
1671,48353,https://useblu.zendesk.com/agent/tickets/465717
